Regulator	Target
Medtr8g067530	contig_186438_1
Medtr8g067530	contig_83765_1
contig_50175_3	Medtr1g110570
contig_50175_3	Medtr5g084850
contig_50175_3	Medtr7g074710
contig_50175_3	Medtr8g095560
contig_50175_3	contig_11902_1
contig_50175_3	contig_75671_1
contig_55711_1	Medtr4g121570
contig_55711_1	Medtr4g122740
contig_55711_1	Medtr6g031200
contig_55711_1	TC174760
contig_55711_1	TC174922
contig_55711_1	TC175228
Medtr2g034260	Medtr2g075780
Medtr2g034260	Medtr4g101280
Medtr2g034260	Medtr4g118480
Medtr2g034260	Medtr5g020270
Medtr2g034260	Medtr8g012400
Medtr2g034260	Medtr8g091420
Medtr2g034260	contig_165624_1
Medtr2g034260	contig_75923_1
Medtr3g014290	Medtr1g043220
Medtr3g014290	Medtr1g072380
Medtr3g014290	Medtr2g075780
Medtr3g014290	Medtr3g083370
Medtr3g014290	Medtr7g089010
Medtr3g014290	contig_59271_2
AC235005_16	AC235009_42
AC235005_16	AW585836
AC235005_16	Medtr7g024320
AC235005_16	Medtr7g109600
AC235005_16	contig_103756_1
Medtr7g109600	contig_102255_1
Medtr7g109600	contig_239528_1
Medtr7g109600	contig_71516_1
Medtr7g109600	contig_83411_1
Medtr7g109600	contig_9311_1
contig_64743_2	Medtr1g110570
contig_64743_2	Medtr4g017200
contig_64743_2	Medtr5g046610
contig_64743_2	Medtr8g027000
contig_64743_2	contig_127594_1
contig_107289_1	Medtr5g090810
contig_107289_1	Medtr5g090830
contig_107289_1	contig_177625_1
contig_107289_1	contig_17849_1
contig_107289_1	contig_238395_1
contig_107289_1	contig_75878_1
Medtr7g113680	AC233783_14
Medtr7g113680	Medtr4g133110
Medtr7g113680	Medtr7g060540
Medtr7g113680	contig_104165_1
Medtr7g113680	contig_119671_1
Medtr7g113680	contig_50734_1
Medtr7g113680	contig_85202_2
Medtr3g102450	Medtr8g037620
Medtr3g102450	Medtr8g037920
Medtr3g102450	contig_23238_1
Medtr3g102450	contig_28288_1
Medtr3g102450	contig_74681_1
Medtr7g089010	Medtr1g086950
Medtr7g089010	Medtr2g062610
Medtr7g089010	Medtr7g104910
Medtr7g089010	Medtr8g009560
Medtr7g089010	contig_164718_1
Medtr5g029840	Medtr1g093140
Medtr5g029840	Medtr2g031390
Medtr5g029840	Medtr4g090800
Medtr5g029840	Medtr5g023730
Medtr5g029840	Medtr7g014550
Medtr5g037080	Medtr4g122750
Medtr5g037080	Medtr7g035200
Medtr5g037080	Medtr8g102380
Medtr5g037080	contig_22539_1
Medtr5g037080	contig_86711_1
contig_106184_1	Medtr2g015720
contig_106184_1	Medtr2g062610
contig_106184_1	Medtr7g045650
contig_106184_1	TC198328
contig_17849_1	CX526580
contig_17849_1	TC184959
contig_17849_1	contig_107289_1
contig_17849_1	contig_69318_1
contig_163976_1	Medtr7g067940
contig_163976_1	TC174471
contig_163976_1	contig_111106_1
contig_163976_1	contig_171123_1
contig_163976_1	contig_67445_1
Medtr1g040430	Medtr1g038680
Medtr1g040430	Medtr1g110550
Medtr1g040430	Medtr1g110570
Medtr1g040430	Medtr5g092440
Medtr1g104890	AW257472
Medtr1g104890	Medtr3g107870
Medtr1g104890	Medtr5g039180
Medtr1g104890	Medtr7g080180
contig_63030_2	Medtr1g015910
contig_63030_2	TC178964
contig_63030_2	TC191760
contig_63030_2	contig_123443_1
contig_63030_2	contig_237790_1
Medtr3g053910	Medtr2g029880
Medtr3g053910	Medtr7g111780
Medtr3g053910	contig_108027_1
Medtr7g114020	AC229724_1040
Medtr7g114020	Medtr2g008240
Medtr7g114020	Medtr2g036390
Medtr7g114020	Medtr4g088030
Medtr7g114020	Medtr5g072930
Medtr7g114020	Medtr5g072960
Medtr7g114020	Medtr5g072980
Medtr7g114020	Medtr6g084120
Medtr7g114020	contig_54219_1
Medtr7g114020	contig_67623_1
Medtr7g114020	contig_9438_2
Medtr4g064180	AC234952_14
Medtr4g064180	Medtr4g031150
Medtr4g064180	Medtr4g053340
Medtr4g064180	Medtr4g114640
Medtr4g064180	Medtr7g012330
Medtr4g064180	Medtr7g090420
Medtr4g064180	Medtr7g101130
Medtr4g064180	Medtr7g116330
Medtr4g064180	contig_103103_1
Medtr4g064180	contig_244103_1
Medtr4g064180	contig_90027_1
Medtr7g025130	Medtr2g036320
Medtr7g025130	Medtr2g075480
Medtr7g025130	Medtr2g086890
Medtr7g025130	Medtr3g060280
Medtr7g025130	Medtr4g015180
Medtr7g025130	Medtr8g062770
Medtr7g025130	contig_114818_1
Medtr7g025130	contig_162511_1
Medtr7g025130	contig_50352_1
Medtr7g025130	contig_56357_1
Medtr7g025130	contig_67431_1
Medtr7g025130	contig_74946_1
Medtr7g025130	contig_83719_1
contig_51288_1	Medtr1g090170
contig_51288_1	Medtr4g014300
contig_51288_1	Medtr5g030010
contig_51288_1	Medtr7g038050
contig_51288_1	Medtr8g011710
contig_51288_1	Medtr8g011920
contig_51288_1	Medtr8g012000
contig_51288_1	Medtr8g012290
contig_51288_1	TC181217
Medtr6g084120	Medtr1g102380
Medtr6g084120	Medtr2g030530
Medtr6g084120	Medtr3g104600
Medtr6g084120	Medtr3g105320
Medtr6g084120	Medtr7g114020
Medtr6g084120	contig_240634_1
Medtr6g084120	contig_70694_1
Medtr1g090170	Medtr1g075170
Medtr1g090170	Medtr4g053630
Medtr1g090170	Medtr4g053780
Medtr1g090170	Medtr5g036180
Medtr1g090170	Medtr7g065290
Medtr1g090170	contig_51288_1
contig_70694_1	AW126348
contig_70694_1	Medtr1g043080
contig_70694_1	Medtr3g118390
contig_70694_1	Medtr7g013200
Medtr4g078430	Medtr3g069480
Medtr4g078430	Medtr3g069500
Medtr4g078430	Medtr4g078600
Medtr4g078430	Medtr8g006100
Medtr4g078430	TC191151
Medtr4g078430	contig_51458_1
Medtr2g101720	AC231338_1
Medtr2g101720	Medtr4g021500
Medtr2g101720	Medtr8g072560
Medtr2g101720	contig_56170_2
Medtr2g101720	contig_96033_1
Medtr3g117120	Medtr7g090180
Medtr3g117120	Medtr7g090190
Medtr3g117120	contig_22653_1
Medtr3g117120	contig_52383_1
Medtr4g116300	AC235671_1
Medtr4g116300	Medtr1g021290
Medtr4g116300	Medtr3g079860
Medtr4g116300	Medtr3g083290
Medtr4g116300	Medtr3g086380
Medtr4g116300	Medtr3g098480
Medtr4g116300	Medtr4g095260
Medtr4g116300	Medtr5g026540
Medtr4g116300	Medtr5g031880
Medtr4g116300	Medtr5g091890
Medtr4g116300	Medtr5g099350
Medtr4g116300	Medtr5g099370
Medtr4g116300	Medtr7g087300
Medtr4g116300	TC173810
Medtr4g116300	TC184549
Medtr4g116300	TC185348
Medtr4g116300	TC188235
Medtr4g116300	contig_52381_1
Medtr4g116300	contig_75407_1
Medtr4g116300	contig_79889_1
Medtr4g116300	contig_83001_1
Medtr1g085980	AJ846509
Medtr1g085980	Medtr1g016290
Medtr1g085980	Medtr1g096000
Medtr1g085980	Medtr3g055940
Medtr1g085980	Medtr3te092960
Medtr1g085980	Medtr7g113490
Medtr1g085980	Medtr7g113510
Medtr1g085980	Medtr8g088840
Medtr1g085980	Medtr8g095930
Medtr1g085980	contig_117737_2
Medtr1g085980	contig_131203_1
Medtr1g085980	contig_163989_1
Medtr1g085980	contig_49541_1
Medtr1g085980	contig_53388_1
Medtr1g085980	contig_56750_1
Medtr1g085980	contig_63175_1
Medtr1g085980	contig_72923_2
Medtr1g085980	contig_83977_1
Medtr1g085980	contig_86714_1
Medtr5g045910	CA922116
Medtr5g045910	Medtr1g019240
Medtr5g045910	Medtr1g100180
Medtr5g045910	Medtr1g110510
Medtr5g045910	Medtr2g103330
Medtr5g045910	Medtr3g062840
Medtr5g045910	Medtr3g113140
Medtr5g045910	Medtr5g066070
Medtr5g045910	Medtr5g076900
Medtr5g045910	Medtr5g095430
Medtr5g045910	Medtr5g097150
Medtr5g045910	Medtr7g011790
Medtr5g045910	contig_10673_1
Medtr5g045910	contig_131680_1
Medtr5g045910	contig_13188_1
Medtr5g045910	contig_20097_1
Medtr5g045910	contig_75512_1
Medtr5g045910	contig_8266_1
Medtr5g025960	AC225519_12
Medtr5g025960	AC233679_1
Medtr5g025960	AC235753_15
Medtr5g025960	Medtr1g116370
Medtr5g025960	Medtr1te093630
Medtr5g025960	Medtr2g020970
Medtr5g025960	Medtr2g038410
Medtr5g025960	Medtr2g062470
Medtr5g025960	Medtr2g087980
Medtr5g025960	Medtr3g023480
Medtr5g025960	Medtr3g084400
Medtr5g025960	Medtr3g105610
Medtr5g025960	Medtr3g111120
Medtr5g025960	Medtr4g007090
Medtr5g025960	Medtr5g091560
Medtr5g025960	Medtr7g011800
Medtr5g025960	Medtr7g092570
Medtr5g025960	Medtr8g023400
Medtr5g025960	Medtr8g095160
Medtr5g025960	contig_11838_1
Medtr5g025960	contig_123020_1
Medtr5g025960	contig_174194_1
Medtr5g025960	contig_54907_1
Medtr5g025960	contig_55338_2
Medtr5g025960	contig_77411_1
Medtr3g031270	AW329314
Medtr3g031270	GT137725
Medtr3g031270	Medtr2g088930
Medtr3g031270	Medtr3g021440
Medtr3g031270	Medtr3g087730
Medtr3g031270	Medtr5g033490
Medtr3g031270	Medtr5g074770
